98,152,1
98,305,2
98,373,3
99,154,1
99,157,2
99,272,3
100,205,1
100,155,2
101,292,1
101,96,2
102,293,1
102,193,2
102,190,3
103,185,1
103,97,2
103,10,3
104,161,1
104,188,2
105,135,1
105,156,2
105,282,3
106,28,1
106,320,2
107,52,1
107,137,2
108,33,1
108,125,2
109,300,1
109,183,2
109,355,3
110,284,1
110,337,2
111,195,1
111,322,2
111,101,3
112,258,1
112,174,2
113,199,1
113,23,2
114,209,1
114,201,2
115,27,1
115,257,2
116,224,1
116,92,2
117,206,1
117,220,2
118,243,1
118,163,2
119,35,1
119,81,2
120,213,1
120,266,2
121,312,1
121,370,2
122,238,1
122,357,2
123,79,1
123,111,2
124,63,1
124,74,2
125,368,1
125,62,2
126,211,1
126,310,2
127,104,1
127,212,2
128,265,1
128,103,2
129,230,1
129,170,2
130,264,1
130,353,2
131,268,1
131,173,2
132,54,1
132,8,2
133,271,1
133,151,2
134,129,1
134,130,2
134,374,3
135,91,1
135,319,2
136,14,1
136,371,2
137,229,1
137,122,2
138,42,1
138,100,2
139,250,1
139,49,2
140,218,1
140,31,2
141,121,1
141,25,2
142,217,1
142,61,2
142,375,3
143,207,1
143,269,2
144,43,1
144,18,2
145,34,1
145,328,2
146,68,1
146,347,2
147,311,1
147,334,2
148,67,1
148,345,2
149,179,1
149,321,2
150,36,1
150,326,2
151,69,1
151,66,2
152,73,1
152,162,2
153,20,1
153,350,2
154,251,1
154,61,2
155,219,1
155,89,2
156,128,1
156,164,2
157,200,1
157,304,2
158,273,1
158,286,2
159,72,1
159,158,2
160,55,1
160,138,2
161,50,1
161,306,2
162,231,1
162,24,2
163,80,1
163,108,2
164,237,1
164,127,2
165,22,1
165,351,2
166,226,1
166,204,2
167,210,1
167,60,2
168,17,1
168,140,2
169,38,1
169,85,2
170,222,1
170,107,2
171,44,1
171,109,2
172,252,1
172,6,2
173,216,1
173,60,2
174,233,1
174,352,2
175,41,1
175,246,2
176,300,1
176,341,2
177,75,1
177,329,2
178,71,1
178,274,2
179,215,1
179,335,2
180,48,1
180,356,2
181,197,1
181,332,2
182,244,1
182,338,2
183,134,1
183,287,2
184,46,1
184,280,2
185,126,1
185,285,2
186,65,1
186,61,2
187,79,1
187,111,2
188,235,1
188,177,2
189,369,1
189,175,2
190,87,1
190,133,2
190,376,3
191,99,1
191,166,2
192,4,1
192,168,2
193,88,1
193,124,2
194,236,1
194,53,2
195,16,1
195,64,2
196,182,1
196,283,2
197,214,1
197,61,2
198,232,1
198,178,2
199,267,1
199,29,2
200,263,1
200,169,2
201,270,1
201,181,2
202,78,1
202,344,2
203,76,1
203,344,2
204,262,1
204,348,2
205,120,1
205,5,2
206,3,1
206,342,2
207,56,1
207,331,2
208,256,1
208,343,2
209,221,1
209,123,2
210,26,1
210,171,2
211,132,1
211,136,2
212,192,1
212,98,2
213,291,1
213,57,2
214,309,1
214,281,2
215,300,1
215,,2
216,255,1
216,318,2
217,115,1
217,354,2
218,242,1
218,131,2
219,83,1
219,102,2
220,58,1
220,21,2
221,223,1
221,202,2
222,40,1
222,180,2
223,45,1
223,225,2
224,241,1
224,249,2
225,51,1
225,165,2
226,76,1
226,344,2
227,44,1
227,7,2
228,59,1
228,346,2
229,86,1
229,113,2
230,234,1
230,112,2
231,227,1
231,340,2
232,247,1
232,339,2
233,227,1
233,349,2
234,239,1
234,330,2
235,90,1
235,167,2
236,259,1
236,176,2
237,253,1
237,114,2
238,196,1
238,336,2
239,82,1
239,297,2
240,47,1
240,323,2
241,260,1
241,172,2
242,77,1
242,324,2
243,84,1
243,9,2
244,153,1
244,150,2
245,198,1
245,139,2
246,301,1
246,94,2
247,105,1
247,106,2
248,203,1
248,298,2
249,325,1
249,,2
250,240,1
250,333,2
251,93,1
251,327,2
252,254,1
252,95,2
253,37,1
253,13,2
254,179,1
254,321,2
255,245,1
255,110,2
255,377,3
256,261,1
256,372,2
257,302,1
257,116,2
258,278,1
258,296,2
259,141,1
259,295,2
260,208,1
260,248,2
261,307,1
261,191,2
261,378,3
262,315,1
262,,2
263,290,1
263,317,2
264,316,1
264,362,2
265,148,1
265,159,2
265,379,3
266,314,1
266,184,2
267,288,1
267,359,2
268,186,1
268,143,2
269,313,1
269,299,2
270,187,1
270,11,2
271,365,1
271,367,2
272,276,1
272,363,2
273,142,1
273,358,2
274,142,1
274,364,2
275,19,1
275,145,2
276,279,1
276,144,2
277,147,1
277,360,2
278,149,1
278,308,2
279,189,1
279,12,2
280,303,1
280,2,2
281,275,1
281,361,2
282,277,1
282,294,2
283,146,1
283,366,2
