98,7
98,40
99,7
99,40
99,41
100,5
100,67
100,42
100,39
101,44
101,40
101,7
101,41
102,44
102,7
103,8
103,45
103,43
104,40
104,7
105,38
105,39
105,44
106,39
106,40
107,40
107,26
108,40
108,45
108,7
109,40
109,5
109,25
110,40
110,39
110,5
111,40
111,39
111,5
112,45
112,39
112,25
112,40
113,40
113,5
114,1
114,45
114,39
115,7
115,16
115,39
115,5
116,33
116,2
117,40
117,7
117,45
118,8
118,45
118,5
119,40
119,45
120,25
120,21
121,39
121,5
122,5
122,39
122,1
123,7
123,1
123,25
124,7
124,39
124,5
125,5
125,27
125,39
126,44
126,8
126,21
127,44
127,21
127,8
128,44
128,8
128,5
129,24
129,44
129,5
130,1
130,39
130,45
131,40
131,39
132,7
132,40
132,39
133,7
133,16
133,44
134,40
134,21
134,45
134,47
135,42
135,48
135,5
136,44
136,5
136,49
137,25
137,45
137,24
138,25
138,45
138,24
139,24
139,45
140,24
140,39
141,24
141,50
141,27
141,30
142,5
142,48
142,45
143,24
143,45
143,8
144,1
144,51
144,67
145,40
145,5
146,45
146,39
146,40
147,39
147,40
147,5
148,39
148,5
148,40
149,5
149,39
149,1
150,40
150,52
150,5
151,7
151,24
152,8
152,21
152,24
153,40
153,5
154,40
154,5
154,45
154,39
155,5
155,39
156,1
156,21
156,40
156,8
157,7
157,25
157,8
157,5
158,25
158,50
158,40
158,21
159,54
159,55
159,7
159,40
160,7
160,8
160,56
160,21
161,56
162,1
162,45
163,25
163,7
164,45
164,39
165,5
165,40
165,39
166,8
166,51
166,5
167,1
167,51
167,67
167,45
168,45
168,40
168,5
169,8
169,5
169,39
169,1
170,1
170,40
170,48
170,5
171,1
171,40
171,45
171,50
172,40
172,39
172,8
173,5
173,39
174,21
174,8
174,5
175,5
175,39
176,5
176,39
176,40
177,24
177,39
177,5
178,24
178,5
178,8
179,40
179,16
179,5
180,40
180,16
180,5
180,39
181,40
181,16
182,40
182,5
182,39
182,16
183,44
183,7
183,40
184,7
184,40
185,56
185,25
186,24
186,5
186,7
186,66
187,7
187,45
188,24
188,5
188,44
189,24
189,45
189,5
189,27
190,7
190,25
190,8
191,16
191,40
191,39
192,7
192,8
192,27
192,24
193,1
193,8
193,7
194,45
194,40
194,51
194,26
195,67
195,45
195,5
196,40
196,39
196,1
197,40
197,5
198,40
198,5
198,39
199,39
199,5
200,5
200,45
200,24
201,7
201,24
201,16
202,24
202,16
202,39
202,5
203,24
203,5
204,7
204,40
205,40
205,39
206,24
206,39
206,8
206,5
207,1
207,8
208,39
208,5
209,40
209,5
209,39
210,40
210,16
210,8
211,40
211,5
212,24
212,16
212,64
213,33
213,36
214,39
214,40
214,16
215,39
216,25
216,24
217,8
217,25
218,40
218,45
218,1
218,8
219,40
219,5
219,39
219,45
220,40
220,8
220,39
220,1
221,8
221,27
221,45
221,39
222,40
222,39
222,5
223,8
223,1
223,40
224,8
224,1
224,40
225,5
225,8
226,40
226,5
227,7
227,40
228,40
228,5
229,25
229,8
230,25
230,8
231,40
231,39
232,40
232,39
232,5
233,40
233,5
233,7
233,8
234,7
234,40
234,5
234,8
235,40
235,5
235,39
236,40
236,5
236,39
237,16
237,40
237,5
238,16
238,40
238,39
238,5
239,7
239,40
239,5
240,40
240,16
240,39
241,40
241,39
241,1
242,40
242,5
242,39
243,24
243,5
243,16
244,8
244,5
245,5
245,40
246,8
246,7
246,61
247,8
247,59
247,58
247,27
248,27
248,7
248,65
248,61
249,7
249,8
249,39
249,26
250,16
251,27
251,7
251,26
252,25
252,8
253,8
253,24
253,25
254,8
254,24
254,27
255,8
255,27
255,5
255,45
256,5
256,40
256,39
257,8
257,7
258,8
258,25
258,1
259,8
259,25
259,1
260,40
260,8
260,39
261,27
261,52
261,62
261,19
262,57
262,58
262,8
263,57
263,58
263,8
264,7
264,57
264,61
264,59
265,7
265,61
265,5
265,59
266,7
266,59
266,61
267,58
267,57
267,61
267,59
268,58
268,25
268,61
268,59
269,59
269,57
269,61
270,7
270,61
270,8
271,40
271,5
271,39
272,40
272,27
272,17
272,39
273,40
273,8
273,7
273,39
274,5
274,40
274,39
274,27
275,34
275,8
275,27
275,47
276,40
276,45
276,39
276,1
277,1
277,25
278,5
278,27
278,62
278,63
279,60
279,57
279,59
279,58
280,7
280,59
280,8
281,45
281,51
281,24
282,1
282,45
282,5
283,40
283,1
