247,108,Can't Say,Null
248,109,Yes,Null
249,109,No,Null
250,110,Yes,Null
251,110,No,Null
252,110,Can't Say,Null
253,111,Yes,Null
254,111,No,Null
255,112,Yes,Null
256,112,No,Null
257,112,Can't Say,Null
258,113,Yes,Null
259,113,No,Null
260,113,Can't Say,Null
261,114,Yes,Null
262,114,No,Null
263,114,Can't Say,Null
264,115,Yes,Null
265,115,No,Null
266,116,Yes,Null
267,116,No,Null
268,116,Can't Say,Null
269,117,Yes,Null
270,117,No,Null
271,117,Can't Say,Null
272,118,Yes,Null
273,118,No,Null
274,118,Can't Say,Null
275,119,Yes,Null
276,119,No,Null
277,120,Yes,Null
278,120,No,Null
279,120,Can't Say,Null
280,121,Yes,Null
281,121,No,Null
282,121,Most of the times,Null
283,121,Sometimes,Null
284,122,Yes,Null
285,122,No,Null
286,122,Can't Say,Null
287,123,Yes,Null
288,123,No,Null
289,124,Yes,Null
290,124,No,Null
291,125,Yes,Null
292,125,No,Null
293,126,Yes,Null
294,126,No,Null
295,126,Can't Say,Null
296,127,1 to 2,Null
297,127,3 to 5,Null
298,127,more than 5,Null
299,129,Yes,Null
300,129,No,Null
301,131,Yes,Null
302,131,No,Null
303,131,Can't Say,Null
304,132,Yes,Null
305,132,No,Null
306,132,Sometimes,Null
307,133,Yes,Null
308,133,No,Null
309,133,Can't Say,Null
310,134,Yes,Null
311,134,No,Null
312,134,Can't Say,Null
313,135,Yes,Null
314,135,No,Null
315,135,Can't Say,Null
316,136,Excited,Null
317,136,Happy,Null
318,136,Satisfied,Null
319,136,Neutral,Null
320,137,Yes,Null
321,137,No,Null
322,138,Yes,Null
323,138,No,Null
324,139,Yes,Null
325,139,No,Null
326,140,Yes,Null
327,140,No,Null
328,141,Yes,Null
329,141,No,Null
330,142,Yes,Null
331,142,No,Null
332,143,Yes,Null
333,143,No,Null
334,144,Yes,Null
335,144,No,Null
336,144,Can't Say,Null
337,145,Yes,Null
338,145,No,Null
339,146,Yes,Null
340,146,No,Null
341,146,Sometimes,Null
342,147,Yes,Null
343,147,No,Null
344,148,Yes,Null
345,148,No,Null
346,149,Yes,Null
347,149,No,Null
348,149,Most of the times,Null
349,149,Sometimes,Null
350,150,Yes,Null
351,150,No,Null
352,151,Yes,Null
353,151,No,Null
354,152,Yes,Null
355,152,No,Null
356,152,Can't Say,Null
357,153,Yes,Null
358,153,No,Null
359,154,Yes,Null
360,154,No,Null
361,155,Yes,Null
362,155,No,Null
363,156,Yes,Null
364,156,No,Null
365,157,Yes,Null
366,157,No,Null
367,159,Yes,Null
368,159,No,Null
369,159,Most of the times,Null
370,159,Sometimes,Null
371,160,Yes,Null
372,160,No,Null
373,160,Can't Say,Null
374,161,Yes,Null
375,161,No,Null
376,162,Yes,Null
377,162,No,Null
