Sr.No.;1st grade;2nd Grade;3rd grade;4th Grade;5th Grade;6th Grade;7th Grade;8th Grade;9th Grade;10th Grade;
70;Fairy;Alarm;black;Arise;Plumy;River;Sheep;Torch;Whale;Swirl;
71;Globe;Album;About;Began;Poise;Roast;Silky;Trail;Wheel;Tiger;
72;Jelly;Alert;Alert;Abuse;Pulse;Round;Skies;Tulip;Witty;Torch;
73;Koala;Alike;Argue;Alive;Quail;Savor;Smile;Unity;Woven;Trail;
74;Lucky;Alive;Above;Array;Queen;Sheep;Snail;Villa;Yacht;Tulip;
75;Panda;Allow;Alike;Begin;Quiet;Silky;Snare;Vital;Yodel;Villa;
76;Quiet;Alone;Arise;Actor;Quirk;Skies;Solar;Voice;Youth;Vital;
77;Ruler;Along;Began;Allow;Rainy;Smile;Spice;Whale;Zebra;Voice;
78;Sunny;Alter;Abuse;Aside;Ranch;Snail;Spire;Wheel;while;Whale;
79;Unity;Among;Alive;Begun;Rhino;Snare;Sport;Witty;Burst;Wheel;
80;Xerox;Anger;Array;Acute;River;Solar;Squid;Woven;Mixed;Witty;
81;About;Angle;Begin;Alone;Roast;Spice;Storm;Yacht;Novel;Woven;
82;Above;Angry;Actor;Asset;Round;Spire;Suite;Yodel;Later;Wryly;
83;Actor;Apart;Allow;Being;Savor;Sport;Sunny;Zebra;Lucky;Yacht;
84;Acute;Apple;Aside;Admit;Sheep;Squid;Swirl;Burst;Model;Yodel;
85;Admit;Apply;Begun;Along;Shrine;Storm;Tiger;Tries;Nurse;Youth;
86;Adopt;Argue;Acute;Audio;Silky;Suite;Torch;Small;Money;Zebra;
87;Adult;Arise;Alone;Below;Skies;Sunny;Trail;Still;Occur;while;
88;After;Array;Asset;Adopt;Smile;Swirl;Tulip;There;Layer;Burst;
89;Again;Aside;Being;Alter;Snail;Tiger;Villa;Truck;Lying;Trust;
90;Agent;Audio;Admit;Audit;Snare;Torch;Vital;Smart;Month;gamer;
91;Agree;Audit;Along;Bench;Solar;Trail;Voice;Stock;Learn;genie;
92;Ahead;Avoid;Audio;Adult;Spice;Tulip;Whale;These;Moral;grave;
93;Alarm;Award;Below;Among;Spire;Unity;Wheel;Truly;Offer;giant;
94;Album;Aware;Adopt;Avoid;Sport;Banish;Witty;Third;Lease;gravy;
95;Boost;Badly;Alter;Billy;Storm;Crave;Woven;Under;Major;grate;
96;Booth;Baker;Audit;After;Words;Forth;Yacht;Solve;Motor;gavel;
97;Bound;Bases;Bench;Anger;About;Gleam;Yodel;Story;Often;gaudy;
98;Brain;Basic;Adult;Award;Alert;Hinge;Youth;Those;Least;gauge;
99;Brand;Basis;Among;Birth;Argue;Ivory;Zebra;Undue;Maker;gaunt;
100;Break;Beach;Avoid;Again;Above;Lapse;Zesty;Sorry;Mount;gaily;
101;Breed;Began;Billy;Angle;Alike;Merge;Zooms;Strip;Order;gauze;
102;Brief;Begin;After;Aware;Arise;Realm;Third;Three;Leave;gault;
103;Bring;Begun;Anger;Black;Began;Vault;Under;Union;March;gates;
104;Broad;Being;Award;Agent;Abuse;Trust;Solve;Sound;Other;genic;
105;Broke;Below;Birth;Angry;Alive;About;Story;Stuck;Legal;genus;
106;Brown;Bench;Again;Badly;Array;Alert;Those;Worth;Mouth;genes;
107;Build;Birth;Angle;Blame;Begin;Argue;Undue;Visit;Ought;genre;
108;Built;Black;Aware;Agree;Actor;Above;Sorry;Would;Level;geeky;
109;Debut;Blame;Agent;Apart;Allow;Alike;Strip;Urban;Match;geese;
110;Delay;Blind;Angry;Baker;Aside;Arise;Three;Whose;Movie;genet;
111;Depth;Block;Badly;Blind;Begun;Began;Union;Watch;Paint;geoid;
112;Doing;Blood;Blame;Ahead;Acute;Abuse;Sound;Write;Light;ghost;
113;Doubt;Board;Agree;Apple;Alone;Alive;Stuck;Usage;Mayor;girth;
114;Dozen;Boost;Apart;Bases;Asset;Array;Threw;Woman;Needs;gilet;
115;Draft;Brain;Baker;Block;Being;Begin;Unity;Wrong;Paper;gismo;
116;Drama;Brand;Blind;Alarm;Admit;Actor;South;Usual;Limit;girly;
117;Alert;Bread;Ahead;Apply;Along;Allow;Study;Train;Meant;giddy;
118;Alike;Break;Apple;Basic;Audio;Aside;Throw;Wrote;Never;giver;
119;Alive;Breed;Bases;Blood;Below;Begun;Until;Valid;Party;glazy;
120;Allow;Brief;Block;Album;Adopt;Acute;Space;World;Peace;glide;
121;Alone;Bring;Alarm;Arena;Alter;Alone;Stuff;Where;Power;gloom;
122;Along;Broad;Apply;Basis;Audit;Asset;Tight;Yield;Radio;glory;
123;Alter;Broke;Basic;Board;Bench;Being;Upper;Value;Panel;glade;
124;Among;Brown;Blood;Boost;Adult;Admit;Upset;Worry;Press;gloss;
125;Anger;Build;Album;Buyer;Among;Along;Whole;Which;Raise;glint;
126;Angle;Built;Arena;China;Avoid;Audio;Waste;Young;Route;gleam;
127;Angry;Buyer;Basis;Cover;Billy;Below;Wound;Video;Phase;glove;
128;Apart;Cable;Board;Booth;After;Adopt;Urban;Worse;Price;glair;
129;Apply;Carry;Boost;Cable;Anger;Alter;Whose;While;Range;glitz;
130;Buyer;Catch;Buyer;Chose;Award;Audit;Watch;Youth;Royal;gloam;
131;Cable;Cause;China;Craft;Birth;Bench;Trend;Virus;Phone;gloze;
132;Carry;Chain;Cover;Bound;Again;Adult;Skill;Worst;Stone;gland;
133;Catch;Chart;Booth;Calif;Angle;Among;Steam;Stone;Thick;gloat;
134;Cause;Cheap;Cable;Civil;Aware;Avoid;Theft;Thick;Smith;globe;
135;Chain;Check;Chose;Crash;Black;Billy;Thick;Trust;Stood;glare;
136;Chart;Chest;Craft;Brain;Agent;After;Trust;Smith;Thing;glass;
137;Chase;Chief;Bound;Carry;Angry;Anger;Smith;Stood;Smoke;glaze;
138;Cheap;Child;carve;Claim;Badly;Award;Sugar;Thing;Store;goods;
139;Check;China;Civil;Cream;Blame;Birth;Tired;Truth;Think;gongs;
140;Chest;Civil;Crash;Brand;Agree;Again;Shell;Smoke;Solid;graze;
141;Chief;Claim;Brain;Catch;Apart;Angle;Speed;Store;Trust;great;
142;Child;Class;Carry;Class;Baker;Aware;Title;Twice;Truth;greet;
143;Entry;Clean;Claim;Crime;Blind;Black;Shift;Solid;Twice;grind;
144;Equal;Clear;Cream;Bread;Ahead;Agent;Spend;Teach;Under;grace;
145;Error;Click;Brand;Cause;Apple;Angry;Super;Since;Undue;grade;
146;Event;Close;Catch;Clean;Bases;Badly;Today;Stake;Union;group;
147;Every;Coach;Class;Cross;Block;Blame;Shirt;Teeth;Unity;grasp;
148;Exact;Could;Crime;Break;Alarm;Agree;Spent;Sixty;Until;grass;
149;Exist;Count;Bread;Chain;Apply;Apart;Sweet;Start;Upper;greed;
150;Extra;Court;Cause;Clear;Basic;Baker;Topic;Texas;Upset;graft;
151;Argue;Cover;Clean;Crowd;Blood;Blind;Shock;Sized;Urban;grove;
152;Arise;Craft;Cross;Breed;Album;Ahead;Split;State;Usage;grunt;
153;Array;Crash;Break;Chair;Arena;Bases;Table;Thank;Usual;green;
154;Aside;Cream;Chain;Click;Basis;Block;Total;Skill;Valid;grail;
155;Asset;Crime;Clear;Crown;Board;Alarm;Shoot;Steam;Value;growl;
156;Audio;Cross;Crowd;Brief;Boost;Apply;Spoke;Theft;Video;grain;
157;Audit;Crowd;Breed;Chart;Buyer;Basic;Taken;Sleep;Virus;grief;
158;Avoid;Curve;Chair;Clock;China;Blood;Touch;Steel;Visit;gross;
159;Award;Cycle;Click;Curve;Cover;Album;Short;Their;Waste;groom;
160;Aware;Daily;Crown;Bring;Booth;Arena;Sight;Slide;Watch;gruel;
161;Badly;Dated;Brief;Chase;Cable;Basis;Since;Stick;Teach;groan;
162;Baker;Debut;Chart;Close;Chose;Board;Sixty;Theme;Track;grand;
163;Bases;Delay;Clock;Cycle;Craft;Boost;Sized;Think;Since;gruff;
164;Basic;Depth;Curve;Broad;Bound;Buyer;Smoke;Threw;Stake;grant;
165;Basis;Doing;Bring;Cheap;Calif;China;Solid;Throw;Teeth;grape;
166;China;Doubt;Chase;Coach;Civil;Cover;Speak;Tight;Trade;grill;
167;Civil;Dozen;Close;Daily;Crash;Booth;Staff;Times;Sixty;grump;
168;Claim;Draft;Cycle;Broke;Brain;Cable;Stage;Track;Start;graph;
169;Class;Drama;Broad;Check;Carry;Chose;Stake;Trade;Texas;guilt;
170;Clean;Drawn;Cheap;Coast;Claim;Craft;Start;Treat;Treat;guard;
171;Clear;Dream;Coach;Dance;Cream;Bound;State;Trend;Sized;guild;
172;Click;Dress;Daily;Brown;Brand;Calif;Shall;Trial;State;guava;
173;Group;Drill;Broke;Chest;Catch;Civil;Roman;Tried;Thank;guest;
174;Close;Drink;Check;Could;Class;Crash;Share;Shelf;Trend;gutsy;
175;Coach;Drive;Brown;Dated;Crime;Brain;Rough;Speak;Skill;guide;
176;Grown;Drove;Chest;Build;Cause;Carry;Sharp;Sugar;Steam;guile;
177;Could;Eager;Could;Chief;Clean;Claim;Sheet;Tired;Theft;guess;
178;Count;Early;Dated;Count;Cross;Cream;Spare;Shell;Trial;guppy;
179;Court;Earth;Build;Dealt;Break;Brand;Style;Speed;Sleep;Urban;
180;Forth;Eight;Chief;Built;Chain;Catch;Times;Title;Steel;Whose;
181;Forty;Elite;Count;Child;Clear;Class;Ratio;Shift;Their;Watch;
182;Found;Empty;Dealt;Court;Crowd;Crime;Scale;Spend;Tried;Stood;
183;Frame;Enemy;Built;Death;Breed;Cause;Reach;Super;Slide;Thing;
184;Frank;Enjoy;Child;Debut;Click;Clean;Scene;Today;Stick;Truth;
185;Fraud;Enter;Court;Entry;Brief;Cross;Ready;Shirt;Theme;Smoke;
186;Fresh;Entry;Death;Forth;Chart;Break;Scope;Spent;Tries;Store;
187;Guard;Equal;Debut;Group;Clock;Chain;Wagon;Split;Small;Think;
188;Began;Error;Entry;Delay;Curve;Clear;Forty;Table;Still;Twice;
189;Begin;Event;Forth;Equal;Bring;Crowd;Frame;Total;There;Solid;
190;Begun;Every;Group;Forty;Chase;Breed;Frank;Shoot;Truck;Storm;
191;Being;Exact;Delay;Grown;Close;Click;Fraud;Spoke;Smart;Third;
192;Below;Exist;Equal;Depth;Cycle;Brief;Fresh;Taken;Stock;Under;
193;Bench;Extra;Forty;Error;Broad;Chart;Guard;Touch;These;Solve;
194;Billy;Faith;Grown;Forum;Cheap;Clock;Began;Short;Truly;Story;
195;Birth;FALSE;Error;Guard;Coach;Curve;Begin;Taste;Smile;Those;
196;Guess;Fault;Forum;Doing;Daily;Bring;Begun;Tough;Sugar;Undue;
197;Blame;Field;Guard;Event;Broke;Chase;Being;Shown;Tired;Sorry;
198;Blind;Fifth;Doing;Found;Check;Close;Below;Staff;Shell;Strip;
199;Block;Fifty;Event;Guess;Brown;Cycle;Bench;Taxes;Speed;Three;
200;Blood;Fight;Found;Doubt;Chest;Broad;Billy;Tower;Roman;Union;
201;Board;Final;Guess;Every;Could;Cheap;Birth;Sight;Share;Sound;
202;Cover;First;Doubt;Frame;Dated;Coach;Chest;Stage;Pound;Stuck;
203;Craft;Fixed;Every;Guest;Build;Daily;Chief;Plain;Quite;Threw;
204;Crash;Flash;Frame;Dozen;Chief;Broke;Child;Ratio;Rough;Unity;
205;Cream;Floor;Guest;Exact;Count;Check;China;Scale;Sharp;Study;
206;Crime;Fluid;Dozen;Frank;Dealt;Brown;Chose;Badly;Sheet;Throw;
207;Cross;Focus;Exact;Guide;Built;Chest;Civil;Baker;Spare;Until;
208;Crowd;Force;Frank;Draft;Child;Could;Claim;Bases;Style;Space;
209;Guest;Forth;Guide;Exist;Court;Dated;Class;Basic;Times;Stuff;
210;Curve;Forty;Draft;Fraud;Death;Build;Clean;Basis;Shelf;Tight;
211;Cycle;Found;Exist;Happy;Debut;Chief;Clear;Beach;Speak;Upper;
212;Daily;Frame;Fraud;Drama;Entry;Count;Click;Began;Quick;Upset;
213;Guide;Frank;Happy;Extra;Forth;Dealt;Close;Begin;Shall;Whole;
214;Dated;Fraud;Drama;Fresh;Group;Built;Coach;Begun;Angle;Waste;
215;Wheel;Fresh;Extra;Harry;Delay;Child;Could;Being;Sixth;Wound;
216;Where;Front;Fresh;Drawn;Equal;Court;Cover;Below;Stand;Taken;
217;While;Fully;Harry;Faith;Forty;Death;Craft;Bench;Shape;Touch;
218;Whose;Funny;Drawn;Front;Grown;Debut;Crash;Billy;Point;Short;
219;Which;Giant;Faith;Heart;Depth;Entry;Cross;Birth;Refer;Sport;
220;Whole;Given;Front;Dream;Error;Pilot;Crowd;Black;Score;Taste;
221;Woman;Glass;Heart;FALSE;Forum;Group;Curve;Blame;Place;Tough;
222;Worry;Globe;Dream;Fruit;Guard;Delay;Cycle;Blind;Proof;Shown;
223;Worse;Going;FALSE;Heavy;Doing;Equal;Daily;Block;Right;Staff;
224;Worst;Grace;Fruit;Dress;Event;Forty;Build;Blood;Sense;Taxes;
225;Worth;Grade;Heavy;Fault;Found;Grown;Count;Boost;Plain;Tower;
226;Write;Grand;Dress;Fully;Guess;Depth;Dealt;Booth;Proud;Sight;
227;Wrong;Great;Fault;Hence;Doubt;Error;Built;Bound;Rival;Stage;
228;Wrote;Gross;Fully;Drill;Every;Forum;Court;Brain;Serve;Teach;
229;Young;Group;Hence;Fibre;Frame;Guard;Group;Brand;Prove;Track;
230;Stick;Grown;Drill;Funny;Guest;Doing;Equal;Bread;Pride;Since;
231;Still;Guard;Fibre;Night;Dozen;Event;Grown;Break;Rapid;Stake;
232;Stock;Guess;Funny;Drink;Exact;Found;Depth;Breed;Rural;Teeth;
233;Stood;Guest;Night;Field;Frank;Guess;Karma;Brief;Photo;Trade;
234;Store;Guide;Drink;Giant;Guide;Doubt;Kashi;Bring;Prime;Sixty;
235;Storm;Harry;Giant;Horse;Draft;Every;Kerala;Broad;Ratio;Start;
236;Story;Heavy;Drive;Drive;Exist;Frame;Lakes;Broke;Scale;Texas;
237;Strip;Hence;Fifth;Fifth;Fraud;Guest;Lemon;Brown;Piece;Treat;
238;Stuck;Hotel;Given;Given;Drama;Dozen;Lotus;Build;Print;Sized;
239;Study;Human;Hotel;Hotel;Extra;Exact;Mango;Built;Reach;State;
240;Stuff;Ideal;Drove;Drove;Fresh;Frank;March;Buyer;Scene;Thank;
241;Style;Image;Fifty;Fifty;Harry;Guide;Mysore;Cable;Prior;Times;
242;Suite;Index;Glass;Glass;Drawn;Draft;North;Calif;Ready;Speak;
243;Super;Inner;House;House;Faith;Exist;Caves;Carry;Scope;Sugar;
244;Taken;Input;Dying;Dying;Front;Fraud;Cloud;Catch;Pitch;Tired;
245;Taste;Issue;Fight;Fight;Dream;Drama;Clown;Cause;Prize;Shell;
246;Taxes;Juice;Globe;Globe;False;Extra;Curry;Chain;Hence;Speed;
247;Teach;Judge;Human;Human;Fruit;Fresh;Delhi;Chart;Drill;Suite;
248;Thank;Known;Eager;Eager;Heavy;Harry;Delta;Cheap;Fibre;Title;
249;Their;Label;Final;Final;Dress;Drawn;Durga;Check;Funny;Shift;
250;Theme;Large;Going;Going;Fault;Faith;Eagle;Chest;Night;Spend;
251;There;Laser;Ideal;Ideal;Fully;Front;Fable;Chief;Drink;Super;
252;These;Later;Early;Early;Hence;Dream;ferry;Child;Giant;Today;
253;Thick;Laugh;First;First;Drill;False;Ganga;China;Drive;Spent;
254;Third;Layer;Grace;Grace;Fibre;Fruit;Geeta;Chose;Fifth;Sweet;
255;Thing;Learn;Image;Image;Funny;Heavy;Great;Civil;Given;Topic;
256;Reach;Lease;Fixed;Earth;Night;Dress;Green;Claim;Hotel;Split;
257;Ready;Least;Grade;Fixed;Drink;Fault;Hindu;Class;Drove;Table;
258;Refer;Leave;Index;Grade;Field;Fully;India;Clean;Fifty;Total;
259;Right;Legal;Eight;Index;Giant;Hence;Refer;Clear;Horse;Spoke;
260;Roman;Level;Flash;Eight;Drive;Drill;Score;Click;Harry;Plate;
261;Rough;Light;Grand;Flash;Fifth;Fibre;Right;Close;House;Sixth;
